Unnamed: 0,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
Mistral-7B-Instruct-v0.3_tapo_v2_5e5_1500,31.801242236024844,1.642412531973703,community,2042,256,549,0,805,31.801242236024844,33.18070167961865,0.1246143302036642
WizardLM-70B-V1.0,16.39751552795031,1.30578174546824,community,1347,132,673,0,805,16.39751552795031,27.99688590025657,0.2474457516457733
magpie_dpo_v0.1_8b_2048_default_template_dpo_glanchatv2.1_ckpt9918_dpo_lr1e6_checkpoint-1529,52.360248447204974,1.7581057681186174,community,2054,420,382,3,805,52.360248447204974,52.397163642169154,0.0404525146559795
Mistral-7B-Instruct-v0.3_tapo_v2_2124,36.64596273291926,1.6993083494481669,community,2023,295,510,0,805,36.64596273291926,38.526895523367365,0.1536621487199138
wildchat_v2_8b_2048_default_template_fullft_e5_9485,30.124223602484477,1.612075684573399,community,1918,240,560,5,805,30.124223602484477,32.350167014631154,0.0023510174958344
Meta-Llama-3.1-70B-Instruct,41.46948941469489,1.7352071926094652,community,1918,331,468,4,803,41.46948941469489,45.03356801117907,0.0264493967914694
glan1.5,12.919254658385093,1.1796402736033835,community,1751,103,700,2,805,12.919254658385093,14.91732175238502,0.0613370269226064
vicuna-33b-v1.3,12.81094527363184,1.1794072685273038,community,1352,103,701,0,804,12.81094527363184,18.484375867220265,0.1988517030403899
ta_llama3_instruct_70B_zero3_dpo_list_bsz1_trible_debug_v1_1500,49.75155279503106,1.7622466593706383,community,1973,400,404,1,805,49.75155279503106,51.260162804248765,0.0943458805771436
gemma_glan1.5_6000ckpt,25.527950310559007,1.5339451031139149,community,1922,204,598,3,805,25.527950310559007,27.801619501314377,1.957727357611567e-16
bitnet,17.9726368159204,1.3506696135856635,community,1833,143,658,3,804,17.9726368159204,19.3077346431987,0.033551898477737
glan2_bsz2k_2e5_2000ckpt,21.24223602484472,1.4398295880306304,community,1815,170,633,2,805,21.24223602484472,23.623105208933858,0.0598362147829541
Mistral-7B-Instruct-v0.3_ta_rejected_dpo_2048_v2,37.88819875776397,1.7108463874726076,community,1900,305,500,0,805,37.88819875776397,40.80877079501299,0.1478734648494864
bitnet_glanchat_v2.1_8b_2048_default_template_sft_checkpoint-3500,10.248447204968944,1.067794292989748,community,2088,82,722,1,805,10.248447204968944,10.592088825584565,0.020717757603713
ta_rejected_llama3.1_instruct_2048_default_template_v2-1000,43.60248447204969,1.7488702092474095,community,1911,351,454,0,805,43.60248447204969,47.41256151726424,0.1004094985225235
ta_rejected_tuluv2_dpo_2048_default_template_bsz1_acc8_v2,23.6318407960199,1.4991571647012754,community,2114,190,614,0,804,23.6318407960199,24.06090225859753,0.1940857785289355
gemma-2-9b-it,40.31055900621118,1.728819638437158,community,1523,324,480,1,805,40.31055900621118,53.12148971518476,0.0472958052854223
bitnet,19.5273631840796,1.3933575719149145,community,1922,155,645,4,804,19.5273631840796,20.463679301730405,2.93659103641735e-16
glan1.5_2k_458,18.012422360248447,1.3524363939838149,community,2032,144,659,2,805,18.012422360248447,18.198426754059184,1.957727357611567e-16
Mistral-7B-Instruct-v0.3_tapo_v2_5e7_1500,30.186335403726712,1.6190020171160546,community,1639,243,562,0,805,30.186335403726712,36.15207822215816,0.204377725914696
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug,25.341614906832294,1.5340107920726402,community,2093,204,601,0,805,25.341614906832294,26.05049617859377,0.2216403229139606
ta_rejected_llama3.1_instruct_2048_default_template_v2-500,42.85714285714285,1.7452777765186458,community,1854,345,460,0,805,42.85714285714285,47.41883042625859,0.0769222569021783
glan1.6_1e5_e3_template_bitnet,2.732919254658385,0.5750006249329893,community,4347,22,783,0,805,2.732919254658385,1.7259846708189042,0.0355353415835518
ta_v2_rejected_noneed_length_tuluv2_dpo_2048_default_template_bsz1_acc8_v2,20.0,1.410691231717197,community,3946,161,644,0,805,20.0,20.3456657986124,0.1883627043718911
Llama-3-8B-Magpie-Align-SFT-v0.1,39.50310559006211,1.7240669867523193,community,2140,318,487,0,805,39.50310559006211,38.284759499967365,0.0011443721943973
ta_rejected_llama3.1_instruct_dpo_2048_default_template-1500,41.98757763975156,1.7405755781307832,community,1940,338,467,0,805,41.98757763975156,45.07994507780345,0.1141225714328149
Mistral-7B-Instruct-v0.3,25.217391304347824,1.531518897087805,community,1698,203,602,0,805,25.217391304347824,29.87489809678125,0.1756454317172725
MagpieLM-8B-Chat-v0.1,52.79503105590062,1.7606067338814608,community,2080,425,380,0,805,52.79503105590062,52.49705478269856,4.552543566033569e-05
glan1.5_dpo_1000ckpt,14.96894409937888,1.256683392817337,community,1711,120,684,1,805,14.96894409937888,18.010331194643413,0.0698726426832601
glan1.6_2e5_e2_template_bitnet,4.968944099378882,0.7663670227288543,community,2026,40,765,0,805,4.968944099378882,4.878759441591975,0.0989067857769163
ta_rejected_llama3.1_instruct_dpo_2048,41.61490683229814,1.738390851319531,community,1985,335,470,0,805,41.61490683229814,44.35777130342725,0.1380384107918858
